################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.5802332367745436E-01 a         1     0     1     1     1
  6.5196031008080690E-01 a         2     0     1     1     2
 -1.4642669801813335E-01 a         3     0     1     1     3
 -1.3481202464766529E-01 a         4     0     1     1     4
 -5.7466624753475748E-01 a         5     0     1     1     5
 -4.2691735830250599E-01 a         6     0     1     1     6
 -3.4159409448470518E-01 a         7     0     1     1     7
 -4.0060495097759374E-01 a         8     0     1     1     8
  7.8479837552790740E-02 a         9     0     1     1     9
 -9.7094336431964232E-02 a        10     0     1     1    10
 -2.0011305340591201E-01 a        11     0     1     1    11
  5.2079579706057288E-01 a        12     0     1     1    12
 -9.6187743611703111E-02 a        13     0     1     1    13
  4.8632371371938377E-01 a        14     0     1     1    14
 -6.2991468638994097E-01 a        15     0     1     1    15
 -3.9637306064309863E-01 a        16     0     1     1    16
 -8.3102895200750856E-03 a        17     0     1     1    17
 -8.0737546705070842E-02 a        18     0     1     1    18
 -6.8151447361077711E-01 a        19     0     1     1    19
 -1.9412309498942192E-02 a        20     0     1     1    20
  3.0868961645041576E-01 a        21     0     1     1    21
 -1.6836638610476320E-01 a        22     0     1     1    22
 -1.2350245750481739E-01 a        23     0     1     1    23
  2.4876453144154798E-01 a        24     0     1     1    24
 -5.3670372999757521E-01 a        25     0     2     1     1
 -2.9960497098202304E-01 a        26     0     2     1     2
  1.8880592658377507E-01 a        27     0     2     1     3
  1.1771160419226712E-01 a        28     0     2     1     4
  8.6549850376203635E-02 a        29     0     2     1     5
  3.0701830678731729E-01 a        30     0     2     1     6
 -2.2062697477994939E-01 a        31     0     2     1     7
 -3.4518296531029630E-01 a        32     0     2     1     8
 -2.5462400656560974E-01 a        33     0     2     1     9
  9.1050426944427457E-02 a        34     0     2     1    10
 -1.8847087395781442E-01 a        35     0     2     1    11
 -4.4269058506889121E-02 a        36     0     2     1    12
  4.7724930041423719E-01 a        37     0     2     1    13
 -2.0744924883496196E-01 a        38     0     2     1    14
  2.1959619901140570E-01 a        39     0     2     1    15
  1.5801916871684299E-01 a        40     0     2     1    16
 -9.6533157295632749E-02 a        41     0     2     1    17
 -2.6356468776153497E-02 a        42     0     2     1    18
  2.2007342007249517E-01 a        43     0     2     1    19
  1.3249315562509803E-01 a        44     0     2     1    20
  1.5459829792679269E-01 a        45     0     2     1    21
  1.2002157397248996E-01 a        46     0     2     1    22
  7.6217824150369529E-01 a        47     0     2     1    23
 -2.7052251373203995E-01 a        48     0     2     1    24
 -2.5285739898816606E-01 a        49     0     3     1     1
 -3.4828942821400005E-01 a        50     0     3     1     2
 -1.5898360097165290E-01 a        51     0     3     1     3
 -9.0948545161346861E-01 a        52     0     3     1     4
  1.8712005265581941E-01 a        53     0     3     1     5
  5.7660128322713367E-01 a        54     0     3     1     6
 -3.8355807135979242E-01 a        55     0     3     1     7
 -1.6727932239874177E-01 a        56     0     3     1     8
 -4.1396747120229516E-01 a        57     0     3     1     9
 -2.6082143382028861E-01 a        58     0     3     1    10
