################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4469664752634515E+00 a         1     0     1     1     1
 -1.0100160722640090E+00 a         2     0     1     1     2
  1.4791730219952754E+00 a         3     0     1     1     3
  1.3682486045560949E+00 a         4     0     1     1     4
  7.8425196683499260E-02 a         5     0     1     1     5
  5.6124284446225026E-01 a         6     0     1     1     6
 -1.2215923112996849E+00 a         7     0     1     1     7
  7.1542196104230282E-01 a         8     0     1     1     8
 -3.1643148252708758E-01 a         9     0     1     1     9
 -8.8365580402561594E-02 a        10     0     1     1    10
 -1.5985324565267347E+00 a        11     0     1     1    11
 -8.6012268923621948E-01 a        12     0     1     1    12
 -8.4529225112915818E-01 a        13     0     1     1    13
 -3.7269607265987748E-01 a        14     0     1     1    14
 -5.5808338864487894E-01 a        15     0     1     1    15
  1.7344028412607155E+00 a        16     0     1     1    16
 -2.2979974028554309E+00 a        17     0     1     1    17
  8.1165426069473001E-01 a        18     0     1     1    18
  8.8736432588719194E-01 a        19     0     1     1    19
 -4.2230049553105509E-01 a        20     0     1     1    20
 -1.1851590761825475E+00 a        21     0     1     1    21
 -1.0577303939082336E-01 a        22     0     1     1    22
  5.7656904832969968E-01 a        23     0     1     1    23
  8.9225885305050046E-01 a        24     0     1     1    24
  3.7497560532772541E-02 a        25     0     2     1     1
  5.7468383706802240E-01 a        26     0     2     1     2
 -2.5230200052289709E-01 a        27     0     2     1     3
  1.9551932783430419E+00 a        28     0     2     1     4
  7.5232511464104546E-01 a        29     0     2     1     5
 -6.3019413101239652E-02 a        30     0     2     1     6
  3.7487593930961111E-01 a        31     0     2     1     7
  9.0572274881556125E-01 a        32     0     2     1     8
 -3.0160614734274477E-01 a        33     0     2     1     9
  6.4968585522043909E-01 a        34     0     2     1    10
  6.7815443321994850E-01 a        35     0     2     1    11
  1.6328568890958264E-01 a        36     0     2     1    12
 -2.6223329230895076E-01 a        37     0     2     1    13
  1.3586237016596325E+00 a        38     0     2     1    14
 -9.1670395849064157E-01 a        39     0     2     1    15
  5.3344334953264939E-02 a        40     0     2     1    16
 -1.0588998601336634E-01 a        41     0     2     1    17
 -1.7806537174488635E-01 a        42     0     2     1    18
  8.4990468282615816E-01 a        43     0     2     1    19
 -6.9724191290994830E-01 a        44     0     2     1    20
  6.3745455590236796E-02 a        45     0     2     1    21
 -2.8563608064509738E-01 a        46     0     2     1    22
 -7.3651602078382061E-01 a        47     0     2     1    23
  3.7642978075177475E-01 a        48     0     2     1    24
 -1.9615965752199597E-02 a        49     0     3     1     1
  3.7716219222477460E-01 a        50     0     3     1     2
  3.4468693788350202E-01 a        51     0     3     1     3
  2.5413982734538149E-01 a        52     0     3     1     4
 -2.3018454006892322E-01 a        53     0     3     1     5
 -3.9674349436498935E-01 a        54     0     3     1     6
 -3.1086445556574654E-01 a        55     0     3     1     7
 -2.7746616910940672E-02 a        56     0     3     1     8
  2.8637455662686173E-01 a        57     0     3     1     9
  4.2603989991502450E-01 a        58     0     3     1    10
  4.3763087250568045E-01 a        59     0     3     1    11
  4.2824537976648569E-01 a        60     0     3     1    12
 -1.9512997966138640E-01 a        61     0     3     1    13
 -2.1526163256471745E-01 a        62     0     3     1    14
 -3.2426271127577283E-01 a        63     0     3     1    15
 -7.6838762643271594E-02 a        64     0     3     1    16
  4.2256614329608566E-01 a        65     0     3     1    17
 -1.0897819990695365E+00 a        66     0     3     1    18
  5.3699587637393875E-01 a        67     0     3     1    19
  6.9224703704322466E-01 a        68     0     3     1    20
  3.2022795532649467E-01 a        69     0     3     1    21
  5.1552955205579121E-01 a        70     0     3     1    22
 -7.2592599405099456E-01 a        71     0     3     1    23
  7.6652444140875309E-01 a        72     0     3     1    24
 -1.0526399039663241E+00 a        73     0     4     1     1
